kp	1.70E+08	2.55E+08	8.50E+07	1.70E+08	1.70E+08	1.70E+08	1.70E+08	1.70E+08	1.70E+08	1.70E+08	1.70E+08	1.70E+08	1.70E+08	1.70E+08	1.70E+08	1.70E+08	1.70E+08	1.70E+08	1.70E+08	1.70E+08	1.70E+08	1.70E+08	1.70E+08	1.70E+08	1.70E+08	1.70E+08	1.70E+08	1.70E+08	1.70E+08	1.70E+08	1.70E+08	1.70E+08	1.70E+08	1.70E+08	1.70E+08	1.70E+08	1.70E+08	1.70E+08	1.70E+08	1.70E+08	1.70E+08	1.70E+08	1.70E+08	1.70E+08	1.70E+08	1.70E+08	1.70E+08	1.70E+08	1.70E+08	1.70E+08	1.70E+08	1.70E+08	1.70E+08	1.70E+08	1.70E+08	1.70E+08	1.70E+08	1.70E+08	1.70E+08	1.70E+08	1.70E+08	1.70E+08	1.70E+08	1.70E+08	1.70E+08	1.70E+08	1.70E+08
cp	3.00E+04	3.00E+04	3.00E+04	4.50E+04	1.50E+04	3.00E+04	3.00E+04	3.00E+04	3.00E+04	3.00E+04	3.00E+04	3.00E+04	3.00E+04	3.00E+04	3.00E+04	3.00E+04	3.00E+04	3.00E+04	3.00E+04	3.00E+04	3.00E+04	3.00E+04	3.00E+04	3.00E+04	3.00E+04	3.00E+04	3.00E+04	3.00E+04	3.00E+04	3.00E+04	3.00E+04	3.00E+04	3.00E+04	3.00E+04	3.00E+04	3.00E+04	3.00E+04	3.00E+04	3.00E+04	3.00E+04	3.00E+04	3.00E+04	3.00E+04	3.00E+04	3.00E+04	3.00E+04	3.00E+04	3.00E+04	3.00E+04	3.00E+04	3.00E+04	3.00E+04	3.00E+04	3.00E+04	3.00E+04	3.00E+04	3.00E+04	3.00E+04	3.00E+04	3.00E+04	3.00E+04	3.00E+04	3.00E+04	3.00E+04	3.00E+04	3.00E+04	3.00E+04
kb	2.00E+08	2.00E+08	2.00E+08	2.00E+08	2.00E+08	3.00E+08	1.00E+08	2.00E+08	2.00E+08	2.00E+08	2.00E+08	2.00E+08	2.00E+08	2.00E+08	2.00E+08	2.00E+08	2.00E+08	2.00E+08	2.00E+08	2.00E+08	2.00E+08	2.00E+08	2.00E+08	2.00E+08	2.00E+08	2.00E+08	2.00E+08	2.00E+08	2.00E+08	2.00E+08	2.00E+08	2.00E+08	2.00E+08	2.00E+08	2.00E+08	2.00E+08	2.00E+08	2.00E+08	2.00E+08	2.00E+08	2.00E+08	2.00E+08	2.00E+08	2.00E+08	2.00E+08	2.00E+08	2.00E+08	2.00E+08	2.00E+08	2.00E+08	2.00E+08	2.00E+08	2.00E+08	2.00E+08	2.00E+08	2.00E+08	2.00E+08	2.00E+08	2.00E+08	2.00E+08	2.00E+08	2.00E+08	2.00E+08	2.00E+08	2.00E+08	2.00E+08	2.00E+08
cb	8.50E+04	8.50E+04	8.50E+04	8.50E+04	8.50E+04	8.50E+04	8.50E+04	1.28E+05	4.25E+04	8.50E+04	8.50E+04	8.50E+04	8.50E+04	8.50E+04	8.50E+04	8.50E+04	8.50E+04	8.50E+04	8.50E+04	8.50E+04	8.50E+04	8.50E+04	8.50E+04	8.50E+04	8.50E+04	8.50E+04	8.50E+04	8.50E+04	8.50E+04	8.50E+04	8.50E+04	8.50E+04	8.50E+04	8.50E+04	8.50E+04	8.50E+04	8.50E+04	8.50E+04	8.50E+04	8.50E+04	8.50E+04	8.50E+04	8.50E+04	8.50E+04	8.50E+04	8.50E+04	8.50E+04	8.50E+04	8.50E+04	8.50E+04	8.50E+04	8.50E+04	8.50E+04	8.50E+04	8.50E+04	8.50E+04	8.50E+04	8.50E+04	8.50E+04	8.50E+04	8.50E+04	8.50E+04	8.50E+04	8.50E+04	8.50E+04	8.50E+04	8.50E+04
kf	1.50E+09	1.50E+09	1.50E+09	1.50E+09	1.50E+09	1.50E+09	1.50E+09	1.50E+09	1.50E+09	2.25E+09	7.50E+08	1.50E+09	1.50E+09	1.50E+09	1.50E+09	1.50E+09	1.50E+09	1.50E+09	1.50E+09	1.50E+09	1.50E+09	1.50E+09	1.50E+09	1.50E+09	1.50E+09	1.50E+09	1.50E+09	1.50E+09	1.50E+09	1.50E+09	1.50E+09	1.50E+09	1.50E+09	1.50E+09	1.50E+09	1.50E+09	1.50E+09	1.50E+09	1.50E+09	1.50E+09	1.50E+09	1.50E+09	1.50E+09	1.50E+09	1.50E+09	1.50E+09	1.50E+09	1.50E+09	1.50E+09	1.50E+09	1.50E+09	1.50E+09	1.50E+09	1.50E+09	1.50E+09	1.50E+09	1.50E+09	1.50E+09	1.50E+09	1.50E+09	1.50E+09	1.50E+09	1.50E+09	1.50E+09	1.50E+09	1.50E+09	1.50E+09
cf	5.00E+04	5.00E+04	5.00E+04	5.00E+04	5.00E+04	5.00E+04	5.00E+04	5.00E+04	5.00E+04	5.00E+04	5.00E+04	7.50E+04	2.50E+04	5.00E+04	5.00E+04	5.00E+04	5.00E+04	5.00E+04	5.00E+04	5.00E+04	5.00E+04	5.00E+04	5.00E+04	5.00E+04	5.00E+04	5.00E+04	5.00E+04	5.00E+04	5.00E+04	5.00E+04	5.00E+04	5.00E+04	5.00E+04	5.00E+04	5.00E+04	5.00E+04	5.00E+04	5.00E+04	5.00E+04	5.00E+04	5.00E+04	5.00E+04	5.00E+04	5.00E+04	5.00E+04	5.00E+04	5.00E+04	5.00E+04	5.00E+04	5.00E+04	5.00E+04	5.00E+04	5.00E+04	5.00E+04	5.00E+04	5.00E+04	5.00E+04	5.00E+04	5.00E+04	5.00E+04	5.00E+04	5.00E+04	5.00E+04	5.00E+04	5.00E+04	5.00E+04	5.00E+04
kw	6.00E+07	6.00E+07	6.00E+07	6.00E+07	6.00E+07	9.00E+07	3.00E+07	6.00E+07	6.00E+07	6.00E+07	6.00E+07	6.00E+07	6.00E+07	6.00E+07	6.00E+07	6.00E+07	6.00E+07	6.00E+07	6.00E+07	6.00E+07	6.00E+07	6.00E+07	6.00E+07	6.00E+07	6.00E+07	6.00E+07	6.00E+07	6.00E+07	6.00E+07	6.00E+07	6.00E+07	6.00E+07	6.00E+07	6.00E+07	6.00E+07	6.00E+07	6.00E+07	6.00E+07	6.00E+07	6.00E+07	6.00E+07	6.00E+07	6.00E+07	6.00E+07	6.00E+07	6.00E+07	6.00E+07	6.00E+07	6.00E+07	6.00E+07	6.00E+07	6.00E+07	6.00E+07	6.00E+07	6.00E+07	6.00E+07	6.00E+07	6.00E+07	6.00E+07	6.00E+07	6.00E+07	6.00E+07	6.00E+07	6.00E+07	6.00E+07	6.00E+07	6.00E+07
cw	9.00E+03	9.00E+03	9.00E+03	9.00E+03	9.00E+03	9.00E+03	9.00E+03	3.83E+04	1.28E+04	9.00E+03	9.00E+03	9.00E+03	9.00E+03	9.00E+03	9.00E+03	9.00E+03	9.00E+03	9.00E+03	9.00E+03	9.00E+03	9.00E+03	9.00E+03	9.00E+03	9.00E+03	9.00E+03	9.00E+03	9.00E+03	9.00E+03	9.00E+03	9.00E+03	9.00E+03	9.00E+03	9.00E+03	9.00E+03	9.00E+03	9.00E+03	9.00E+03	9.00E+03	9.00E+03	9.00E+03	9.00E+03	9.00E+03	9.00E+03	9.00E+03	9.00E+03	9.00E+03	9.00E+03	9.00E+03	9.00E+03	9.00E+03	9.00E+03	9.00E+03	9.00E+03	9.00E+03	9.00E+03	9.00E+03	9.00E+03	9.00E+03	9.00E+03	9.00E+03	9.00E+03	9.00E+03	9.00E+03	9.00E+03	9.00E+03	9.00E+03	9.00E+03
Mc	16000.00	16000.00	16000.00	16000.00	16000.00	16000.00	16000.00	16000.00	16000.00	16000.00	16000.00	16000.00	16000.00	24000.00	8000.00	16000.00	16000.00	16000.00	16000.00	16000.00	16000.00	16000.00	16000.00	16000.00	16000.00	16000.00	16000.00	16000.00	16000.00	16000.00	16000.00	16000.00	16000.00	16000.00	16000.00	16000.00	16000.00	16000.00	16000.00	16000.00	16000.00	16000.00	16000.00	16000.00	16000.00	16000.00	16000.00	16000.00	16000.00	16000.00	16000.00	16000.00	16000.00	16000.00	16000.00	16000.00	16000.00	16000.00	16000.00	16000.00	16000.00	16000.00	16000.00	16000.00	16000.00	16000.00	16000.00
Mb	1307.50	1307.50	1307.50	1307.50	1307.50	1307.50	1307.50	1307.50	1307.50	1307.50	1307.50	1307.50	1307.50	1307.50	1307.50	1961.25	653.75	1307.50	1307.50	1307.50	1307.50	1307.50	1307.50	1307.50	1307.50	1307.50	1307.50	1307.50	1307.50	1307.50	1307.50	1307.50	1307.50	1307.50	1307.50	1307.50	1307.50	1307.50	1307.50	1307.50	1307.50	1307.50	1307.50	1307.50	1307.50	1307.50	1307.50	1307.50	1307.50	1307.50	1307.50	1307.50	1307.50	1307.50	1307.50	1307.50	1307.50	1307.50	1307.50	1307.50	1307.50	1307.50	1307.50	1307.50	1307.50	1307.50	1307.50
Mw	906.50	906.50	906.50	906.50	906.50	906.50	906.50	906.50	906.50	906.50	906.50	906.50	906.50	906.50	906.50	906.50	906.50	1359.75	453.25	906.50	906.50	906.50	906.50	906.50	906.50	906.50	906.50	906.50	906.50	906.50	906.50	906.50	906.50	906.50	906.50	906.50	906.50	906.50	906.50	906.50	906.50	906.50	906.50	906.50	906.50	906.50	906.50	906.50	906.50	906.50	906.50	906.50	906.50	906.50	906.50	906.50	906.50	906.50	906.50	906.50	906.50	906.50	906.50	906.50	906.50	906.50	906.50
k1	2220000.00	2220000.00	2220000.00	2220000.00	2220000.00	2220000.00	2220000.00	2220000.00	2220000.00	2220000.00	2220000.00	2220000.00	2220000.00	2220000.00	2220000.00	2220000.00	2220000.00	2220000.00	2220000.00	3330000.00	1110000.00	2220000.00	2220000.00	2220000.00	2220000.00	2220000.00	2220000.00	2220000.00	2220000.00	2220000.00	2220000.00	2220000.00	2220000.00	2220000.00	2220000.00	2220000.00	2220000.00	2220000.00	2220000.00	2220000.00	2220000.00	2220000.00	2220000.00	2220000.00	2220000.00	2220000.00	2220000.00	2220000.00	2220000.00	2220000.00	2220000.00	2220000.00	2220000.00	2220000.00	2220000.00	2220000.00	2220000.00	2220000.00	2220000.00	2220000.00	2220000.00	2220000.00	2220000.00	2220000.00	2220000.00	2220000.00	2220000.00
k2	6430000.00	6430000.00	6430000.00	6430000.00	6430000.00	6430000.00	6430000.00	6430000.00	6430000.00	6430000.00	6430000.00	6430000.00	6430000.00	6430000.00	6430000.00	6430000.00	6430000.00	6430000.00	6430000.00	6430000.00	6430000.00	9645000.00	3215000.00	6430000.00	6430000.00	6430000.00	6430000.00	6430000.00	6430000.00	6430000.00	6430000.00	6430000.00	6430000.00	6430000.00	6430000.00	6430000.00	6430000.00	6430000.00	6430000.00	6430000.00	6430000.00	6430000.00	6430000.00	6430000.00	6430000.00	6430000.00	6430000.00	6430000.00	6430000.00	6430000.00	6430000.00	6430000.00	6430000.00	6430000.00	6430000.00	6430000.00	6430000.00	6430000.00	6430000.00	6430000.00	6430000.00	6430000.00	6430000.00	6430000.00	6430000.00	6430000.00	6430000.00
c1	2000.00	2000.00	2000.00	2000.00	2000.00	2000.00	2000.00	2000.00	2000.00	2000.00	2000.00	2000.00	2000.00	2000.00	2000.00	2000.00	2000.00	2000.00	2000.00	2000.00	2000.00	2000.00	2000.00	1000.00	3000.00	2000.00	2000.00	2000.00	2000.00	2000.00	2000.00	2000.00	2000.00	2000.00	2000.00	2000.00	2000.00	2000.00	2000.00	2000.00	2000.00	2000.00	2000.00	2000.00	2000.00	2000.00	2000.00	2000.00	2000.00	2000.00	2000.00	2000.00	2000.00	2000.00	2000.00	2000.00	2000.00	2000.00	2000.00	2000.00	2000.00	2000.00	2000.00	2000.00	2000.00	2000.00	2000.00
c2	20000.00	20000.00	20000.00	20000.00	20000.00	20000.00	20000.00	20000.00	20000.00	20000.00	20000.00	20000.00	20000.00	20000.00	20000.00	20000.00	20000.00	20000.00	20000.00	20000.00	20000.00	20000.00	20000.00	20000.00	20000.00	30000.00	10000.00	20000.00	20000.00	20000.00	20000.00	20000.00	20000.00	20000.00	20000.00	20000.00	20000.00	20000.00	20000.00	20000.00	20000.00	20000.00	20000.00	20000.00	20000.00	20000.00	20000.00	20000.00	20000.00	20000.00	20000.00	20000.00	20000.00	20000.00	20000.00	20000.00	20000.00	20000.00	20000.00	20000.00	20000.00	20000.00	20000.00	20000.00	20000.00	20000.00	20000.00
kh	8.70E+10	8.70E+10	8.70E+10	8.70E+10	8.70E+10	8.70E+10	8.70E+10	8.70E+10	8.70E+10	8.70E+10	8.70E+10	8.70E+10	8.70E+10	8.70E+10	8.70E+10	8.70E+10	8.70E+10	8.70E+10	8.70E+10	8.70E+10	8.70E+10	8.70E+10	8.70E+10	8.70E+10	8.70E+10	8.70E+10	8.70E+10	1.31E+11	4.35E+10	8.70E+10	8.70E+10	8.70E+10	8.70E+10	8.70E+10	8.70E+10	8.70E+10	8.70E+10	8.70E+10	8.70E+10	8.70E+10	8.70E+10	8.70E+10	8.70E+10	8.70E+10	8.70E+10	8.70E+10	8.70E+10	8.70E+10	8.70E+10	8.70E+10	8.70E+10	8.70E+10	8.70E+10	8.70E+10	8.70E+10	8.70E+10	8.70E+10	8.70E+10	8.70E+10	8.70E+10	8.70E+10	8.70E+10	8.70E+10	8.70E+10	8.70E+10	8.70E+10	8.70E+10
ms	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	30	200	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125	125
mb	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	900	300	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500
V	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	40	50	60	80	90	100	115	120	125	130	135	140	145	150	155	160	165	180	200	210	220	230	240	250	270	280	290	300	325	350	375	400	425	450
dt	1.40E-05	1.40E-05	1.40E-05	1.40E-05	1.40E-05	1.40E-05	1.40E-05	1.40E-05	1.40E-05	1.40E-05	1.40E-05	1.40E-05	1.40E-05	1.40E-05	1.40E-05	1.40E-05	1.40E-05	1.40E-05	1.40E-05	1.40E-05	1.40E-05	1.40E-05	1.40E-05	1.40E-05	1.40E-05	1.40E-05	1.40E-05	1.40E-05	1.40E-05	1.40E-05	1.40E-05	1.40E-05	1.40E-05	1.40E-05	1.40E-05	1.40E-05	1.40E-05	1.40E-05	1.40E-05	1.40E-05	1.40E-05	1.40E-05	1.40E-05	1.40E-05	1.40E-05	1.40E-05	1.40E-05	1.40E-05	1.40E-05	1.40E-05	1.40E-05	1.40E-05	1.40E-05	1.40E-05	1.40E-05	1.40E-05	1.40E-05	1.40E-05	1.40E-05	1.40E-05	1.40E-05	1.40E-05	1.40E-05	1.40E-05	1.40E-05	1.40E-05	1.40E-05
